"bathrooms"|"bedrooms"|"beds"|"city"|"id"|"lat"|"lng"|"localized_city"|"neighborhood"|"person_capacity"|"public_address"|"reviews_count"|"room_type"|"star_rating"|"user_id"|"curr"|"price"|"scrapedate"|"guests"|"i"|"price_range"|"geo"|"lon"|"ppp"
2|1|1|"Vernier"|13370710|46.2222163668986|6.09299794583513|"Vernier"|NA|2|"Vernier, Genève 1214, Schweiz"|2|"Privatzimmer"|NA|75923575|"CHF"|21|2017-01-28|1|0|20|0|0|10.5
1|0|1|"Genève"|16212962|46.2102581310892|6.14674300871281|"Genf"|NA|2|"Genf, Genève 1201, Schweiz"|0|"Ganze Unterkunft"|NA|104593668|"CHF"|21|2017-01-28|1|0|20|0|0|10.5
1|1|1|"Châtelaine"|13357390|46.2114244330958|6.11310419487318|"Châtelaine"|NA|1|"Châtelaine, Genève 1219, Schweiz"|0|"Privatzimmer"|NA|75757212|"CHF"|19|2017-01-28|1|0|20|0|0|19
1.5|1|1|"Grand-Lancy"|14244815|46.1759557480777|6.11228091765335|"Grand-Lancy"|NA|1|"Grand-Lancy, Genève 1212, Schweiz"|11|"Privatzimmer"|5|86270657|"CHF"|26|2017-01-28|1|0|25|0|0|26
1|1|1|"Genthod"|10484352|46.2608016883152|6.14367021223454|"Genthod"|NA|1|"Genthod, Genève 1294, Schweiz"|0|"Privatzimmer"|NA|1560904|"CHF"|26|2017-01-28|1|0|25|0|0|26
1|1|1|"Geneva"|647112|46.204512649284|6.16101929884124|"Genf"|NA|1|"Genf, Genf 1207, Schweiz"|14|"Privatzimmer"|5|3244168|"CHF"|26|2017-01-28|1|0|25|0|0|26
1.5|1|1|"Carouge"|16801405|46.1852669736474|6.14581423630887|"Carouge"|NA|1|"Carouge, Genève 1227, Schweiz"|0|"Privatzimmer"|NA|45369467|"CHF"|22|2017-01-28|1|0|25|0|0|22
2|1|1|"Carouge"|16835675|46.175758120064|6.1435736983201|"Carouge"|NA|1|"Carouge, Genève 1227, Schweiz"|0|"Gemeinsames Zimmer"|NA|36926333|"CHF"|22|2017-01-28|1|0|25|0|0|22
2|1|2|"Genève"|5903347|46.1955490280502|6.14724463385689|"Genf"|NA|3|"Genf, Genève 1205, Schweiz"|88|"Gemeinsames Zimmer"|4.5|30661130|"CHF"|25|2017-01-28|1|0|25|0|0|8.33333333333333
1|1|1|"Le Grand-Saconnex"|13750885|46.2362936789972|6.1285525234131|"Le Grand-Saconnex"|NA|1|"Le Grand-Saconnex, Genève 1218, Schweiz"|3|"Privatzimmer"|5|66724766|"CHF"|29|2017-01-28|1|0|30|0|0|29
2|1|1|"Genève"|16155074|46.1911596226795|6.14463319475549|"Genf"|NA|1|"Genf, Genève 1205, Schweiz"|0|"Privatzimmer"|NA|105442165|"CHF"|28|2017-01-28|1|0|30|0|0|28
1|1|1|"Genève"|13301970|46.1982329625721|6.13757297119992|"Genf"|NA|2|"Genf, Genève 1205, Schweiz"|0|"Privatzimmer"|NA|75132838|"CHF"|31|2017-01-28|1|0|30|0|0|15.5
